id,name,publisher,source_type,status,usage_tag,priority,license,decision_reason,publication_year,landing_url,evidence_urls,vetting_date
sat-1926-original,Scholastic Aptitude Test (1926) - the original first SAT,College Entrance Examination Board,public_domain_scan,approved,PUBLIC_DOMAIN,high,"Public domain (US): published before January 1, 1931",US public domain (pre-1931 publication). No usage restrictions.,1926,https://commons.wikimedia.org/wiki/File:Scholastic_Aptitude_Test_(SAT)_from_1926.pdf,https://commons.wikimedia.org/wiki/File:Scholastic_Aptitude_Test_(SAT)_from_1926.pdf,2026-07-15
ceeb-math-1911-1915,"Examination Questions in Mathematics, Third Series (1911-1915)",College Entrance Examination Board / Ginn and Company,public_domain_scan,approved,PUBLIC_DOMAIN,high,Public domain (US): published before 1931; Internet Archive rights statement NOT_IN_COPYRIGHT,US public domain (pre-1931 publication); Internet Archive offers unrestricted download.,1915,https://archive.org/details/questmathematics00collrich,https://archive.org/details/questmathematics00collrich,2026-07-15
ceeb-math-1916-1920,"Examination Questions in Mathematics, Fourth Series (1916-1920)",College Entrance Examination Board / Ginn and Company,public_domain_scan,approved,PUBLIC_DOMAIN,high,Public domain (US): published before 1931,US public domain (pre-1931 publication); unrestricted download.,1920,https://archive.org/details/mathematicsquest00collrich,https://archive.org/details/mathematicsquest00collrich,2026-07-15
ceeb-history-c1915,Examination Questions in History (c. 1915),College Entrance Examination Board / Ginn and Company,public_domain_scan,approved,PUBLIC_DOMAIN,medium,Public domain (US): Internet Archive rights statement NOT_IN_COPYRIGHT,Explicit NOT_IN_COPYRIGHT rights statement plus pre-1931 publication.,1915,https://archive.org/details/questexamination00collrich,https://archive.org/details/questexamination00collrich,2026-07-15
ceeb-history-1901-1905,"Examination Questions in History, 1901-1905",College Entrance Examination Board,public_domain_scan,approved,PUBLIC_DOMAIN,medium,Public domain (US): published before 1931 (Google Books scan),US public domain (pre-1931 publication).,1905,https://archive.org/details/examinationques01boargoog,https://archive.org/details/examinationques01boargoog,2026-07-15
wikibooks-sat-study-guide,Wikibooks: SAT Study Guide,Wikimedia Foundation (community-authored),cc_licensed_wiki,approved,CC_BY_SA_ATTRIBUTION_SHAREALIKE,low,CC BY-SA (Creative Commons Attribution-ShareAlike),"Valid open license (CC BY-SA), but content is nearly empty - no actual practice questions. Kept in registry for completeness; deprioritized for collection.",,https://en.wikibooks.org/wiki/SAT_Study_Guide,https://en.wikibooks.org/wiki/SAT_Study_Guide,2026-07-15
collegeboard-paper-practice-tests,College Board Official SAT Paper Practice Tests (PDF),College Board,official_free_download,conditional,RESTRICTED_INTERNAL_USE_ONLY_DO_NOT_REDISTRIBUTE,high,"Copyright College Board, all rights reserved. Free download; personal, non-commercial educational use only; redistribution and online re-posting prohibited without written permission.","Free and official, but NOT openly licensed. Downloading for personal educational use is consistent with College Board terms; redistribution of the PDFs or extracted questions is not. Requires explicit project-owner sign-off before collection, and outputs must stay private.",2023,https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests/paper,https://satsuite.collegeboard.org/sat/practice-preparation/practice-tests | https://satsuite.collegeboard.org/k12-educators/educator-experience/student-data-privacy-agreement | https://privacy.collegeboard.org/copyright-trademark/request-instructions,2026-07-15
collegeboard-educator-question-bank,College Board SAT Suite Educator Question Bank,College Board,official_web_app,rejected,DO_NOT_COLLECT,,"Copyright College Board. Terms explicitly prohibit uploading, posting, caching, reproducing, or modifying any portion of the SAT Suite Question Bank without express written permission.",Terms explicitly prohibit exactly what this pipeline would do (caching/reproducing question bank items). Official and free does not mean collectible.,2023,https://satsuitequestionbank.collegeboard.org/,https://satsuite.collegeboard.org/k12-educators/educator-experience/student-data-privacy-agreement,2026-07-15
khan-academy-sat-practice,Khan Academy Official SAT Practice,Khan Academy (content owned by College Board),official_web_app,rejected,DO_NOT_COLLECT,,Khan Academy ToS: personal non-commercial use only; scraping/automated extraction prohibited; AI/ML training use prohibited. SAT items remain College Board copyright.,ToS explicitly prohibits scraping and automated extraction; underlying SAT content is College Board copyright.,2023,https://www.khanacademy.org/,https://support.khanacademy.org/hc/en-us/articles/42929097425037-What-s-allowed-and-not-allowed-under-Khan-Academy-s-Terms-of-Service | https://www.khanacademy.org/about/tos,2026-07-15
cracksat-net,CrackSAT.net practice test collection,CrackSAT.net (third-party aggregator),third_party_aggregator,rejected,DO_NOT_COLLECT,,No valid license. Site redistributes College Board copyrighted practice tests without evident authorization.,Unauthorized redistribution of copyrighted College Board materials. Collecting from it would launder infringing copies into the pipeline.,,https://www.cracksat.net/sat-tests/,https://www.cracksat.net/about/copyright.html | https://privacy.collegeboard.org/copyright-trademark/request-instructions,2026-07-15
opensat-github,OpenSAT (GitHub question databank + API),Community project (Anas099X/OpenSAT),github_repo,rejected,DO_NOT_COLLECT,,"Repository code is open source, but the license of the question CONTENT is unclear and provenance is unverifiable (community-submitted and AI-generated items; risk of derivation from College Board copyrighted questions).",A code license does not license the question content. Provenance of items is unverifiable and may derive from copyrighted College Board material; AI-generated items also lack quality assurance.,2024,https://github.com/Anas099X/OpenSAT,https://github.com/Anas099X/OpenSAT,2026-07-15
archive-10-sats-1983,10 SATs: actual and complete Scholastic Aptitude Tests (1983+ book scans),College Entrance Examination Board,in_copyright_scan,rejected,DO_NOT_COLLECT,,"In copyright. Internet Archive access is controlled digital lending only (borrow), not free download.",Under copyright (published 1983); lending access does not grant collection or reproduction rights.,1983,https://archive.org/details/10satsactualcomp00coll,https://archive.org/details/10satsactualcomp00coll,2026-07-15
archive-real-sat-subject-tests,Real SAT Subject Tests (book scan),College Entrance Examination Board,in_copyright_scan,rejected,DO_NOT_COLLECT,,In copyright. Controlled digital lending only.,Under copyright; lending access does not grant collection rights.,2006,https://archive.org/details/realsatsubjectte00coll,https://archive.org/details/realsatsubjectte00coll,2026-07-15
